City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
266,Sorong,ID,-0.8833,131.25,80.91,80,93,7.99,overcast clouds
267,Lompoc,US,34.6391,-120.4579,78.01,21,0,3.96,clear sky
268,Blackwater,AU,-23.5833,148.8833,64.35,75,0,8.61,clear sky
269,Domoni,KM,-12.2569,44.5319,80.76,84,47,8.48,scattered clouds
270,Lixourion,GR,38.2019,20.4314,55.4,67,0,5.75,clear sky
271,Salinopolis,BR,-0.6136,-47.3561,80.28,81,100,7.67,overcast clouds
272,Ollioules,FR,43.1352,5.848,61.0,69,15,1.99,few clouds
273,Banjar,ID,-8.19,114.9675,80.6,89,40,3.44,scattered clouds
274,Luderitz,NA,-26.6481,15.1594,67.64,62,0,13.49,clear sky
275,Bilma,NE,18.6853,12.9164,75.72,10,0,5.19,clear sky
276,Hithadhoo,MV,-0.6,73.0833,83.35,76,29,20.78,scattered clouds
277,Pullman,US,46.7313,-117.1796,48.99,45,1,16.11,clear sky
278,Kaeo,NZ,-35.1,173.7833,55.99,96,14,6.2,few clouds
279,Puerto Ayora,EC,-0.7393,-90.3518,81.0,78,40,13.8,scattered clouds
280,Mount Isa,AU,-20.7333,139.5,73.4,40,0,8.05,clear sky
281,Bulgan,MN,48.8125,103.5347,30.38,87,100,1.48,light snow
282,Kirakira,SB,-10.4544,161.9205,79.72,84,53,5.37,broken clouds
283,Congonhas,BR,-20.4997,-43.8578,87.8,37,20,16.11,few clouds
284,Ndioum,SN,16.5129,-14.6471,100.4,17,0,4.61,clear sky
285,Vila Velha,BR,-20.3297,-40.2925,82.99,94,75,10.36,broken clouds
286,Vardo,NO,70.3705,31.1107,35.6,87,75,23.02,broken clouds
287,Kamenka,RU,51.3223,42.7678,42.01,75,78,10.29,broken clouds
288,Sur,OM,22.5667,59.5289,79.97,53,6,1.88,clear sky
289,Rudnichnyy,RU,59.617,52.4703,32.54,97,100,9.86,overcast clouds
290,Los Llanos De Aridane,ES,28.6585,-17.9182,71.6,46,20,17.27,few clouds
291,Fort Nelson,CA,58.8053,-122.7002,37.4,60,75,5.75,broken clouds
292,Suamico,US,44.6319,-88.0393,37.0,47,90,16.11,overcast clouds
293,Stromness,GB,58.965,-3.296,41.0,70,90,16.11,overcast clouds
294,Meiganga,CM,6.5167,14.3,74.75,20,17,6.33,few clouds
295,Kaoma,ZM,-14.7833,24.8,63.37,78,12,5.37,few clouds
296,Zhezkazgan,KZ,47.8043,67.7144,21.67,84,13,15.59,few clouds
297,Ust-Shonosha,RU,61.1531,41.343,34.27,98,100,7.34,overcast clouds
298,Wawina,HN,15.4167,-84.4333,84.2,69,1,9.24,clear sky
299,Nukus,UZ,42.4531,59.6103,37.4,35,0,6.91,clear sky
300,Chokurdakh,RU,70.6333,147.9167,-16.62,100,100,4.12,overcast clouds
301,Laguna,US,38.421,-121.4238,69.8,21,1,5.75,clear sky
302,Pangody,RU,65.85,74.4859,2.89,76,100,19.17,overcast clouds
303,Aleksandrov Gay,RU,50.147,48.5704,38.88,64,9,8.79,clear sky
304,Guilin,CN,25.2819,110.2864,71.6,94,75,3.83,mist
305,Hobyo,SO,5.3505,48.5268,80.76,70,0,13.02,clear sky
306,Sao Joao Da Barra,BR,-21.6403,-41.0511,86.0,62,0,9.22,clear sky
307,Chipinge,ZW,-20.1883,32.6236,58.35,77,33,4.79,scattered clouds
308,Nikki,BJ,9.9401,3.2108,87.03,15,27,5.41,scattered clouds
309,Lac-Megantic,CA,45.5834,-70.8823,61.0,48,100,3.0,overcast clouds
310,Komsomolets,KZ,53.7453,62.0708,21.81,93,92,9.93,overcast clouds
311,Yola,NG,9.2,12.4833,88.77,9,65,3.4,broken clouds
312,Magadan,RU,59.5667,150.8,17.22,96,92,2.57,overcast clouds
313,Broome,US,42.2506,-75.833,57.0,87,90,8.05,overcast clouds
314,Chimbote,PE,-9.0853,-78.5783,74.55,73,15,11.72,few clouds
315,Bauta,CU,22.9828,-82.5464,91.4,40,40,10.36,scattered clouds
316,Ushtobe,KZ,45.2514,77.9838,37.04,69,100,5.41,overcast clouds
317,Kismayo,SO,-0.3582,42.5454,81.39,81,56,11.16,broken clouds
318,Pilar,BR,-9.5972,-35.9567,87.8,66,20,13.8,few clouds
319,Pacific Grove,US,36.6177,-121.9166,79.0,25,1,3.44,clear sky
320,Altamont,US,42.2068,-121.7372,54.0,25,1,3.44,clear sky
321,Suntar,RU,62.1444,117.6319,1.18,98,52,3.18,broken clouds
