City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
589,San Vicente,AR,76.08,clear sky,-26.6167,-54.1333,Complejo Turístico Farelluk
590,Mpulungu,ZM,70.9,light rain,-8.7623,31.1141,Nhkupi Lodge
594,Mbandaka,CD,74.73,light rain,0.0487,18.2603,Guest House Epervier
596,San Quintin,MX,73.49,clear sky,30.4833,-115.95,Old Mill Hotel
597,Dong Hoi,VN,77.05,few clouds,17.4833,106.6,Nam Long Hotel
598,Martapura,ID,78.8,broken clouds,-3.4167,114.85,Montana Hotel Syariah
604,Manjeshwar,IN,84.2,broken clouds,12.7194,74.8861,Baithul Hidaya
606,Madang,PG,75.9,overcast clouds,-5.2246,145.7966,Comfort Inn Hotel
608,Jacksonville,US,87.01,broken clouds,30.3322,-81.6556,Hyatt Regency Jacksonville Riverfront
613,Alyangula,AU,80.38,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
617,Wanlaweyn,SO,80.78,clear sky,2.6185,44.8938,GAASHAAN HOME
621,Rio Branco,BR,86.0,broken clouds,-9.9747,-67.81,João Paulo Hotel
625,Kualakapuas,ID,78.8,broken clouds,-3.0091,114.3876,Guest House Izonk
628,Kuching,MY,77.0,scattered clouds,1.55,110.3333,The Ranee Boutique Suites
632,Roebourne,AU,81.36,clear sky,-20.7833,117.1333,Harding River Caravan Park
633,Luwuk,ID,78.17,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
634,Galesong,ID,75.2,light rain,-5.3166,119.3661,Sapriadi Appy
635,Bumba,CD,80.01,broken clouds,2.1833,22.4667,Hôtel Cape Town
636,Arrecife,ES,73.4,few clouds,28.963,-13.5477,Hotel Lancelot
640,Marsh Harbour,BS,77.59,clear sky,26.5412,-77.0636,Abaco Beach Resort
642,San Ramon,US,73.0,clear sky,37.7799,-121.978,San Ramon Marriott
644,Alamos,MX,90.0,clear sky,27.0167,-108.9333,Luz del Sol
646,Sibolga,ID,74.97,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
647,Trat,TH,81.0,broken clouds,12.5,102.5,สวนหนิง-อัศ
653,Pitiquito,MX,81.0,clear sky,30.7,-112.0833,California Plaza
664,Butia,BR,73.44,broken clouds,-30.1197,-51.9622,Restaurante e Churrascaria Santo Antonio Ltda
665,Rio Grande,BR,75.2,scattered clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
674,Navirai,BR,79.47,broken clouds,-23.065,-54.1906,Dubai Hotel - Também sua casa!
